country,year,production,nino,last_updated
Brazil,1960,29800.0,0.23,2026-09-22 11:55
Brazil,1961,39600.0,-0.07,2026-09-22 11:55
Brazil,1962,28900.0,-0.11,2026-09-22 11:55
Brazil,1963,23200.0,-0.25,2026-09-22 11:55
Brazil,1964,11000.0,1.19,2026-09-22 11:55
Brazil,1965,37700.0,-0.79,2026-09-22 11:55
Brazil,1966,21000.0,1.82,2026-09-22 11:55
Brazil,1967,24500.0,-0.23,2026-09-22 11:55
Brazil,1968,17000.0,-0.36,2026-09-22 11:55
Brazil,1969,21000.0,0.66,2026-09-22 11:55
Brazil,1970,11000.0,0.81,2026-09-22 11:55
Brazil,1971,24600.0,-0.78,2026-09-22 11:55
Brazil,1972,24500.0,-0.86,2026-09-22 11:55
Brazil,1973,14300.0,1.84,2026-09-22 11:55
Brazil,1974,27500.0,-1.89,2026-09-22 11:55
Brazil,1975,23000.0,-0.88,2026-09-22 11:55
Brazil,1976,9300.0,-1.47,2026-09-22 11:55
Brazil,1977,17500.0,0.81,2026-09-22 11:55
Brazil,1978,20000.0,0.84,2026-09-22 11:55
Brazil,1979,22000.0,-0.07,2026-09-22 11:55
Brazil,1980,21500.0,0.5,2026-09-22 11:55
Brazil,1981,33000.0,0.08,2026-09-22 11:55
Brazil,1982,17750.0,-0.19,2026-09-22 11:55
Brazil,1983,30000.0,2.03,2026-09-22 11:55
Brazil,1984,27000.0,-0.96,2026-09-22 11:55
Brazil,1985,33000.0,-0.95,2026-09-22 11:55
Brazil,1986,13900.0,-0.28,2026-09-22 11:55
Brazil,1987,38000.0,1.06,2026-09-22 11:55
Brazil,1988,25000.0,1.2,2026-09-22 11:55
Brazil,1989,26000.0,-1.81,2026-09-22 11:55
Brazil,1990,31000.0,-0.12,2026-09-22 11:55
Brazil,1991,28500.0,0.31,2026-09-22 11:55
Brazil,1992,24000.0,1.18,2026-09-22 11:55
Brazil,1993,28500.0,-0.24,2026-09-22 11:55
Brazil,1994,28000.0,0.2,2026-09-22 11:55
Brazil,1995,16800.0,0.93,2026-09-22 11:55
Brazil,1996,28000.0,-1.05,2026-09-22 11:55
Brazil,1997,23500.0,-0.39,2026-09-22 11:55
Brazil,1998,35600.0,2.34,2026-09-22 11:55
Brazil,1999,30800.0,-1.31,2026-09-22 11:55
Brazil,2000,34100.0,-1.35,2026-09-22 11:55
Brazil,2001,35100.0,-0.76,2026-09-22 11:55
Brazil,2002,53600.0,-0.33,2026-09-22 11:55
Brazil,2003,33200.0,1.19,2026-09-22 11:55
Brazil,2004,43600.0,0.29,2026-09-22 11:55
Brazil,2005,36100.0,0.64,2026-09-22 11:55
Brazil,2006,46700.0,-0.57,2026-09-22 11:55
Brazil,2007,39100.0,0.88,2026-09-22 11:55
Brazil,2008,53300.0,-1.57,2026-09-22 11:55
Brazil,2009,44800.0,-0.57,2026-09-22 11:55
Brazil,2010,54500.0,1.31,2026-09-22 11:55
Brazil,2011,49200.0,-1.57,2026-09-22 11:55
Brazil,2012,57600.0,-1.02,2026-09-22 11:55
Brazil,2013,57200.0,0.13,2026-09-22 11:55
Brazil,2014,54300.0,-0.12,2026-09-22 11:55
Brazil,2015,49400.0,0.7,2026-09-22 11:55
Brazil,2016,56100.0,2.45,2026-09-22 11:55
Brazil,2017,52100.0,-0.49,2026-09-22 11:55
Brazil,2018,66500.0,-0.61,2026-09-22 11:55
Brazil,2019,60500.0,1.04,2026-09-22 11:55
Brazil,2020,69900.0,0.72,2026-09-22 11:55
Brazil,2021,58100.0,-1.11,2026-09-22 11:55
Brazil,2022,62600.0,-0.91,2026-09-22 11:55
Brazil,2023,66300.0,-0.82,2026-09-22 11:55
Brazil,2024,65500.0,1.9,2026-09-22 11:55
Brazil,2025,63000.0,-0.29,2026-09-22 11:55
Brazil,2026,71900.0,-0.61,2026-09-22 11:55
Colombia,1960,7260.0,0.23,2026-09-22 11:55
Colombia,1961,7571.0,-0.07,2026-09-22 11:55
Colombia,1962,7180.0,-0.11,2026-09-22 11:55
Colombia,1963,7556.0,-0.25,2026-09-22 11:55
Colombia,1964,8428.0,1.19,2026-09-22 11:55
Colombia,1965,8200.0,-0.79,2026-09-22 11:55
Colombia,1966,7600.0,1.82,2026-09-22 11:55
Colombia,1967,8000.0,-0.23,2026-09-22 11:55
Colombia,1968,7900.0,-0.36,2026-09-22 11:55
Colombia,1969,8450.0,0.66,2026-09-22 11:55
Colombia,1970,8000.0,0.81,2026-09-22 11:55
Colombia,1971,7200.0,-0.78,2026-09-22 11:55
Colombia,1972,8600.0,-0.86,2026-09-22 11:55
Colombia,1973,7800.0,1.84,2026-09-22 11:55
Colombia,1974,9000.0,-1.89,2026-09-22 11:55
Colombia,1975,8500.0,-0.88,2026-09-22 11:55
Colombia,1976,9300.0,-1.47,2026-09-22 11:55
Colombia,1977,11050.0,0.81,2026-09-22 11:55
Colombia,1978,12600.0,0.84,2026-09-22 11:55
Colombia,1979,12712.0,-0.07,2026-09-22 11:55
Colombia,1980,13500.0,0.5,2026-09-22 11:55
Colombia,1981,14342.0,0.08,2026-09-22 11:55
Colombia,1982,13300.0,-0.19,2026-09-22 11:55
Colombia,1983,13000.0,2.03,2026-09-22 11:55
Colombia,1984,11000.0,-0.96,2026-09-22 11:55
Colombia,1985,12000.0,-0.95,2026-09-22 11:55
Colombia,1986,11000.0,-0.28,2026-09-22 11:55
Colombia,1987,13000.0,1.06,2026-09-22 11:55
Colombia,1988,10700.0,1.2,2026-09-22 11:55
Colombia,1989,13300.0,-1.81,2026-09-22 11:55
Colombia,1990,14500.0,-0.12,2026-09-22 11:55
Colombia,1991,17980.0,0.31,2026-09-22 11:55
Colombia,1992,14950.0,1.18,2026-09-22 11:55
Colombia,1993,11400.0,-0.24,2026-09-22 11:55
Colombia,1994,13000.0,0.2,2026-09-22 11:55
Colombia,1995,12939.0,0.93,2026-09-22 11:55
Colombia,1996,10779.0,-1.05,2026-09-22 11:55
Colombia,1997,12043.0,-0.39,2026-09-22 11:55
Colombia,1998,10868.0,2.34,2026-09-22 11:55
Colombia,1999,9512.0,-1.31,2026-09-22 11:55
Colombia,2000,10500.0,-1.35,2026-09-22 11:55
Colombia,2001,11950.0,-0.76,2026-09-22 11:55
Colombia,2002,11712.0,-0.33,2026-09-22 11:55
Colombia,2003,11053.0,1.19,2026-09-22 11:55
Colombia,2004,11532.0,0.29,2026-09-22 11:55
Colombia,2005,11953.0,0.64,2026-09-22 11:55
Colombia,2006,12164.0,-0.57,2026-09-22 11:55
Colombia,2007,12515.0,0.88,2026-09-22 11:55
Colombia,2008,8664.0,-1.57,2026-09-22 11:55
Colombia,2009,8100.0,-0.57,2026-09-22 11:55
Colombia,2010,8525.0,1.31,2026-09-22 11:55
Colombia,2011,7655.0,-1.57,2026-09-22 11:55
Colombia,2012,9927.0,-1.02,2026-09-22 11:55
Colombia,2013,12075.0,0.13,2026-09-22 11:55
Colombia,2014,13300.0,-0.12,2026-09-22 11:55
Colombia,2015,14000.0,0.7,2026-09-22 11:55
Colombia,2016,14600.0,2.45,2026-09-22 11:55
Colombia,2017,13825.0,-0.49,2026-09-22 11:55
Colombia,2018,13870.0,-0.61,2026-09-22 11:55
Colombia,2019,14100.0,1.04,2026-09-22 11:55
Colombia,2020,13400.0,0.72,2026-09-22 11:55
Colombia,2021,11800.0,-1.11,2026-09-22 11:55
Colombia,2022,10700.0,-0.91,2026-09-22 11:55
Colombia,2023,12760.0,-0.82,2026-09-22 11:55
Colombia,2024,14800.0,1.9,2026-09-22 11:55
Colombia,2025,12500.0,-0.29,2026-09-22 11:55
Colombia,2026,13400.0,-0.61,2026-09-22 11:55
Guatemala,1960,1500.0,0.23,2026-09-22 11:55
Guatemala,1961,1700.0,-0.07,2026-09-22 11:55
Guatemala,1962,1929.0,-0.11,2026-09-22 11:55
Guatemala,1963,1712.0,-0.25,2026-09-22 11:55
Guatemala,1964,1660.0,1.19,2026-09-22 11:55
Guatemala,1965,2095.0,-0.79,2026-09-22 11:55
Guatemala,1966,1726.0,1.82,2026-09-22 11:55
Guatemala,1967,1792.0,-0.23,2026-09-22 11:55
Guatemala,1968,1716.0,-0.36,2026-09-22 11:55
Guatemala,1969,1941.0,0.66,2026-09-22 11:55
Guatemala,1970,1965.0,0.81,2026-09-22 11:55
Guatemala,1971,2099.0,-0.78,2026-09-22 11:55
Guatemala,1972,2133.0,-0.86,2026-09-22 11:55
Guatemala,1973,2352.0,1.84,2026-09-22 11:55
Guatemala,1974,2386.0,-1.89,2026-09-22 11:55
Guatemala,1975,2043.0,-0.88,2026-09-22 11:55
Guatemala,1976,2213.0,-1.47,2026-09-22 11:55
Guatemala,1977,2541.0,0.81,2026-09-22 11:55
Guatemala,1978,2827.0,0.84,2026-09-22 11:55
Guatemala,1979,2647.0,-0.07,2026-09-22 11:55
Guatemala,1980,2702.0,0.5,2026-09-22 11:55
Guatemala,1981,2653.0,0.08,2026-09-22 11:55
Guatemala,1982,2530.0,-0.19,2026-09-22 11:55
Guatemala,1983,2340.0,2.03,2026-09-22 11:55
Guatemala,1984,2703.0,-0.96,2026-09-22 11:55
Guatemala,1985,2650.0,-0.95,2026-09-22 11:55
Guatemala,1986,2843.0,-0.28,2026-09-22 11:55
Guatemala,1987,3020.0,1.06,2026-09-22 11:55
Guatemala,1988,3022.0,1.2,2026-09-22 11:55
Guatemala,1989,3472.0,-1.81,2026-09-22 11:55
Guatemala,1990,3282.0,-0.12,2026-09-22 11:55
Guatemala,1991,3549.0,0.31,2026-09-22 11:55
Guatemala,1992,3584.0,1.18,2026-09-22 11:55
Guatemala,1993,3078.0,-0.24,2026-09-22 11:55
Guatemala,1994,3500.0,0.2,2026-09-22 11:55
Guatemala,1995,3827.0,0.93,2026-09-22 11:55
Guatemala,1996,4141.0,-1.05,2026-09-22 11:55
Guatemala,1997,4200.0,-0.39,2026-09-22 11:55
Guatemala,1998,4300.0,2.34,2026-09-22 11:55
Guatemala,1999,4364.0,-1.31,2026-09-22 11:55
Guatemala,2000,4564.0,-1.35,2026-09-22 11:55
Guatemala,2001,3530.0,-0.76,2026-09-22 11:55
Guatemala,2002,3802.0,-0.33,2026-09-22 11:55
Guatemala,2003,3671.0,1.19,2026-09-22 11:55
Guatemala,2004,3817.0,0.29,2026-09-22 11:55
Guatemala,2005,3715.0,0.64,2026-09-22 11:55
Guatemala,2006,4050.0,-0.57,2026-09-22 11:55
Guatemala,2007,4110.0,0.88,2026-09-22 11:55
Guatemala,2008,3980.0,-1.57,2026-09-22 11:55
Guatemala,2009,4010.0,-0.57,2026-09-22 11:55
Guatemala,2010,3960.0,1.31,2026-09-22 11:55
Guatemala,2011,4410.0,-1.57,2026-09-22 11:55
Guatemala,2012,4010.0,-1.02,2026-09-22 11:55
Guatemala,2013,3515.0,0.13,2026-09-22 11:55
Guatemala,2014,3185.0,-0.12,2026-09-22 11:55
Guatemala,2015,3295.0,0.7,2026-09-22 11:55
Guatemala,2016,3570.0,2.45,2026-09-22 11:55
Guatemala,2017,3780.0,-0.49,2026-09-22 11:55
Guatemala,2018,3770.0,-0.61,2026-09-22 11:55
Guatemala,2019,3645.0,1.04,2026-09-22 11:55
Guatemala,2020,3930.0,0.72,2026-09-22 11:55
Guatemala,2021,3540.0,-1.11,2026-09-22 11:55
Guatemala,2022,3270.0,-0.91,2026-09-22 11:55
Guatemala,2023,3469.0,-0.82,2026-09-22 11:55
Guatemala,2024,3270.0,1.9,2026-09-22 11:55
Guatemala,2025,3155.0,-0.29,2026-09-22 11:55
Guatemala,2026,3260.0,-0.61,2026-09-22 11:55
Honduras,1960,291.0,0.23,2026-09-22 11:55
Honduras,1961,315.0,-0.07,2026-09-22 11:55
Honduras,1962,405.0,-0.11,2026-09-22 11:55
Honduras,1963,390.0,-0.25,2026-09-22 11:55
Honduras,1964,479.0,1.19,2026-09-22 11:55
Honduras,1965,461.0,-0.79,2026-09-22 11:55
Honduras,1966,431.0,1.82,2026-09-22 11:55
Honduras,1967,495.0,-0.23,2026-09-22 11:55
Honduras,1968,514.0,-0.36,2026-09-22 11:55
Honduras,1969,443.0,0.66,2026-09-22 11:55
Honduras,1970,545.0,0.81,2026-09-22 11:55
Honduras,1971,586.0,-0.78,2026-09-22 11:55
Honduras,1972,759.0,-0.86,2026-09-22 11:55
Honduras,1973,689.0,1.84,2026-09-22 11:55
Honduras,1974,983.0,-1.89,2026-09-22 11:55
Honduras,1975,847.0,-0.88,2026-09-22 11:55
Honduras,1976,691.0,-1.47,2026-09-22 11:55
Honduras,1977,1036.0,0.81,2026-09-22 11:55
Honduras,1978,1132.0,0.84,2026-09-22 11:55
Honduras,1979,1137.0,-0.07,2026-09-22 11:55
Honduras,1980,1265.0,0.5,2026-09-22 11:55
Honduras,1981,1200.0,0.08,2026-09-22 11:55
Honduras,1982,1500.0,-0.19,2026-09-22 11:55
Honduras,1983,1310.0,2.03,2026-09-22 11:55
Honduras,1984,1400.0,-0.96,2026-09-22 11:55
Honduras,1985,1062.0,-0.95,2026-09-22 11:55
Honduras,1986,1535.0,-0.28,2026-09-22 11:55
Honduras,1987,1553.0,1.06,2026-09-22 11:55
Honduras,1988,1635.0,1.2,2026-09-22 11:55
Honduras,1989,1928.0,-1.81,2026-09-22 11:55
Honduras,1990,1685.0,-0.12,2026-09-22 11:55
Honduras,1991,2255.0,0.31,2026-09-22 11:55
Honduras,1992,1981.0,1.18,2026-09-22 11:55
Honduras,1993,2060.0,-0.24,2026-09-22 11:55
Honduras,1994,2295.0,0.2,2026-09-22 11:55
Honduras,1995,2254.0,0.93,2026-09-22 11:55
Honduras,1996,2279.0,-1.05,2026-09-22 11:55
Honduras,1997,2905.0,-0.39,2026-09-22 11:55
Honduras,1998,2494.0,2.34,2026-09-22 11:55
Honduras,1999,3067.0,-1.31,2026-09-22 11:55
Honduras,2000,2821.0,-1.35,2026-09-22 11:55
Honduras,2001,3098.0,-0.76,2026-09-22 11:55
Honduras,2002,2496.0,-0.33,2026-09-22 11:55
Honduras,2003,2968.0,1.19,2026-09-22 11:55
Honduras,2004,2575.0,0.29,2026-09-22 11:55
Honduras,2005,3204.0,0.64,2026-09-22 11:55
Honduras,2006,3460.0,-0.57,2026-09-22 11:55
Honduras,2007,3642.0,0.88,2026-09-22 11:55
Honduras,2008,3225.0,-1.57,2026-09-22 11:55
Honduras,2009,3550.0,-0.57,2026-09-22 11:55
Honduras,2010,3975.0,1.31,2026-09-22 11:55
Honduras,2011,5600.0,-1.57,2026-09-22 11:55
Honduras,2012,4725.0,-1.02,2026-09-22 11:55
Honduras,2013,4400.0,0.13,2026-09-22 11:55
Honduras,2014,5100.0,-0.12,2026-09-22 11:55
Honduras,2015,5300.0,0.7,2026-09-22 11:55
Honduras,2016,7510.0,2.45,2026-09-22 11:55
Honduras,2017,7600.0,-0.49,2026-09-22 11:55
Honduras,2018,7100.0,-0.61,2026-09-22 11:55
Honduras,2019,5200.0,1.04,2026-09-22 11:55
Honduras,2020,6500.0,0.72,2026-09-22 11:55
Honduras,2021,4800.0,-1.11,2026-09-22 11:55
Honduras,2022,5700.0,-0.91,2026-09-22 11:55
Honduras,2023,5050.0,-0.82,2026-09-22 11:55
Honduras,2024,5200.0,1.9,2026-09-22 11:55
Honduras,2025,5530.0,-0.29,2026-09-22 11:55
Honduras,2026,6030.0,-0.61,2026-09-22 11:55
