year,nino,harvest_year
1950,-0.66,1951
1951,0.96,1952
1952,-0.11,1953
1953,0.52,1954
1954,-0.4,1955
1955,-1.59,1956
1956,-0.37,1957
1957,1.39,1958
1958,0.36,1959
1959,0.23,1960
1960,-0.07,1961
1961,-0.11,1962
1962,-0.25,1963
1963,1.19,1964
1964,-0.79,1965
1965,1.82,1966
1966,-0.23,1967
1967,-0.36,1968
1968,0.66,1969
1969,0.81,1970
1970,-0.78,1971
1971,-0.86,1972
1972,1.84,1973
1973,-1.89,1974
1974,-0.88,1975
1975,-1.47,1976
1976,0.81,1977
1977,0.84,1978
1978,-0.07,1979
1979,0.5,1980
1980,0.08,1981
1981,-0.19,1982
1982,2.03,1983
1983,-0.96,1984
1984,-0.95,1985
1985,-0.28,1986
1986,1.06,1987
1987,1.2,1988
1988,-1.81,1989
1989,-0.12,1990
1990,0.31,1991
1991,1.18,1992
1992,-0.24,1993
1993,0.2,1994
1994,0.93,1995
1995,-1.05,1996
1996,-0.39,1997
1997,2.34,1998
1998,-1.31,1999
1999,-1.35,2000
2000,-0.76,2001
2001,-0.33,2002
2002,1.19,2003
2003,0.29,2004
2004,0.64,2005
2005,-0.57,2006
2006,0.88,2007
2007,-1.57,2008
2008,-0.57,2009
2009,1.31,2010
2010,-1.57,2011
2011,-1.02,2012
2012,0.13,2013
2013,-0.12,2014
2014,0.7,2015
2015,2.45,2016
2016,-0.49,2017
2017,-0.61,2018
2018,1.04,2019
2019,0.72,2020
2020,-1.11,2021
2021,-0.91,2022
2022,-0.82,2023
2023,1.9,2024
2024,-0.29,2025
2025,-0.61,2026
